rollno,name,address,pincode,dob,gender,aadharno,fathername,mothername,mobileno,parentno,sscpercentage,hscpercentage,department,course,year,division,idno
3301,ABHANGRAO PRANALI RAJENDRA,at post sangola,413307,08-02-2002 00:00,male,7.85E+10,Demo,Demo,9958531334,9520956212,78.72,68.58,Science,BSC [ECS],second,C,1233
3302,AIWALE DHIRAJ DADASAHEB,at post sangola,413308,28-02-2001 00:00,female,7.85E+10,Demo,Demo,9364735095,9570829141,67.85,77.03,Science,BSC [ECS],second,C,1234
3303,AIWALE ROHIT BALU,at post sangola,413309,24-01-2003 00:00,female,7.85E+10,Demo,Demo,9730900916,9311456800,69.51,66.63,Science,BSC [ECS],second,C,1235
3304,AIWALE SUNITA CHANDAR,at post sangola,413310,11-10-2001 00:00,male,7.85E+10,Demo,Demo,9740731316,9704757890,69.84,77.54,Science,BSC [ECS],second,C,1236
3305,AIWALE VAISHNAVI ASHOK,at post sangola,413311,24-02-2003 00:00,female,7.85E+10,Demo,Demo,9752970903,9549973891,78.18,91.83,Science,BSC [ECS],second,C,1237
3306,ANUSE SANIKA BALASO,at post sangola,413312,10-09-2002 00:00,male,7.85E+10,Demo,Demo,9026307814,9352057322,76.73,90.8,Science,BSC [ECS],second,C,1238
3307,ANUSE SUHANI SHRIMANT,at post sangola,413313,14-12-2001 00:00,female,7.85E+10,Demo,Demo,9629156262,9891078992,81.76,71.58,Science,BSC [ECS],second,C,1239
3308,AYARE SANSKAR NANASO,at post sangola,413314,09-07-2000 00:00,female,7.85E+10,Demo,Demo,9291533901,9360056743,72.62,83.61,Science,BSC [ECS],second,C,1240
3309,BABAR BHAKTI TUKARAM,at post sangola,413315,22-09-2000 00:00,female,7.85E+10,Demo,Demo,9920681749,9302680294,64.78,71.71,Science,BSC [ECS],second,C,1241
3310,BABAR HARSHAD TANAJI,at post sangola,413316,19-11-2005 00:00,male,7.85E+10,Demo,Demo,9363738255,9660854016,63.92,93.49,Science,BSC [ECS],second,C,1242
